DATE,SP500,GOLD,LIBOR
2019-10-28,3039.42,1505.050,1.93550
2019-10-29,3036.89,1492.750,1.92713
2019-10-30,3046.77,1490.150,1.90913
2019-10-31,3037.56,1506.400,1.90225
2019-11-01,3066.91,1509.850,1.89050
2019-11-04,3078.27,1509.200,1.90825
2019-11-05,3074.62,1504.600,1.89350
2019-11-06,3076.78,1488.550,1.90425
2019-11-07,3085.18,1484.100,1.90138
2019-11-08,3093.08,1466.850,1.90063
2019-11-11,3087.01,1465.500,1.90463
2019-11-12,3091.84,1455.000,1.90925
2019-11-13,3094.04,1463.450,1.90988
2019-11-14,3096.63,1467.650,1.90413
2019-11-15,3120.46,1465.600,1.90263
2019-11-18,3122.03,1458.400,1.89850
2019-11-19,3120.18,1464.900,1.89463
2019-11-20,3108.46,1475.700,1.89875
2019-11-21,3103.54,1468.900,1.90950
2019-11-22,3110.29,1471.300,1.91725
2019-11-25,3133.64,1459.450,1.91863
2019-11-26,3140.52,1457.650,1.90863
2019-11-27,3153.63,1459.800,1.91375
2019-11-29,3140.98,1456.350,1.90550
2019-12-02,3113.87,1457.500,1.90013
2019-12-03,3093.20,1470.400,1.89150
2019-12-04,3112.76,1475.850,1.88713
2019-12-05,3117.43,1474.600,1.88500
2019-12-06,3145.91,1474.850,1.89050
2019-12-09,3135.96,1463.600,1.88838
2019-12-10,3132.52,1464.450,1.88725
2019-12-11,3141.63,1468.050,1.88738
2019-12-12,3168.57,1474.700,1.89363
2019-12-13,3168.80,1470.600,1.89963
2019-12-16,3191.45,1477.400,1.89850
2019-12-17,3192.52,1478.400,1.90250
2019-12-18,3191.14,1478.900,1.90800
2019-12-19,3205.37,1474.400,1.92775
2019-12-20,3221.22,1476.900,1.93475
2019-12-23,3224.01,1483.950,1.94663
2019-12-24,3223.38,1490.850,1.96050
2019-12-27,3240.02,1510.600,1.94463
2019-12-30,3221.29,1511.500,1.90938
2019-12-31,3230.78,1523.000,1.90838
2020-01-02,3257.85,1520.550,1.90025
2020-01-03,3234.85,1547.400,1.87388
2020-01-06,3246.28,1576.850,1.87225
2020-01-07,3237.18,1566.500,1.87800
2020-01-08,3253.05,1582.850,1.83400
2020-01-09,3274.70,1547.850,1.84788
2020-01-10,3265.35,1548.800,1.83775
2020-01-13,3288.13,1550.350,1.83125
2020-01-14,3283.15,1544.950,1.84263
2020-01-15,3289.29,1551.900,1.83613
2020-01-16,3316.81,1555.200,1.82663
2020-01-17,3329.62,1556.500,1.81913
2020-01-21,3320.79,1556.250,1.80625
2020-01-22,3321.75,1558.100,1.80088
2020-01-23,3325.54,1554.050,1.79413
2020-01-24,3295.47,1561.850,1.79538
2020-01-27,3243.63,1583.450,1.77450
2020-01-28,3276.24,1579.600,1.76950
2020-01-29,3273.40,1571.200,1.77713
2020-01-30,3283.66,1580.400,1.76325
2020-01-31,3225.52,1580.850,1.75113
2020-02-03,3248.92,1578.850,1.74100
2020-02-04,3297.59,1571.200,1.73738
2020-02-05,3334.69,1552.200,1.74163
2020-02-06,3345.78,1564.750,1.73413
2020-02-10,3352.09,1574.050,1.71313
2020-02-11,3357.75,1567.700,1.70725
2020-02-12,3379.45,1566.750,1.70375
2020-02-13,3373.94,1575.000,1.69163
2020-02-14,3380.16,1576.350,1.69175
2020-02-18,3370.29,1588.200,1.69463
2020-02-19,3386.15,1609.500,1.69600
2020-02-20,3373.23,1610.350,1.68275
2020-02-21,3337.75,1633.700,1.67925
2020-02-24,3225.89,1682.350,1.64663
2020-02-25,3128.21,1655.900,1.63763
2020-02-26,3116.39,1647.950,1.61325
2020-02-27,2978.76,1646.600,1.58038
2020-02-28,2954.22,1626.350,1.46275
2020-03-02,3090.23,1609.700,1.25375
2020-03-03,3003.37,1599.050,1.31425
2020-03-04,3130.12,1644.800,1.00063
2020-03-05,3023.94,1647.450,0.99888
2020-03-06,2972.37,1687.000,0.89600
2020-03-09,2746.56,1676.600,0.76813
2020-03-10,2882.23,1657.400,0.78413
2020-03-11,2741.38,1662.500,0.77250
2020-03-12,2480.64,1636.650,0.74050
2020-03-13,2711.02,1588.150,0.84313
2020-03-16,2386.13,1504.650,0.88938
2020-03-17,2529.19,1472.350,1.05188
2020-03-18,2398.10,1506.000,1.11575
2020-03-19,2409.39,1480.700,1.19513
2020-03-20,2304.92,1504.450,1.20413
2020-03-23,2237.40,1494.500,1.21563
2020-03-24,2447.33,1599.500,1.23238
2020-03-25,2475.56,1620.950,1.26700
2020-03-26,2630.07,1620.100,1.37463
2020-03-27,2541.47,1621.200,1.45013
2020-03-30,2626.65,1624.450,1.43338
2020-03-31,2584.59,1604.650,1.45050
2020-04-01,2470.50,1594.250,1.43650
2020-04-02,2526.90,1588.050,1.37300
2020-04-03,2488.65,1609.750,1.38738
2020-04-06,2663.68,1636.600,1.35238
2020-04-07,2659.41,1652.200,1.31988
2020-04-08,2749.98,1649.050,1.31138
2020-04-09,2789.82,1662.500,1.21888
2020-04-14,2846.06,1715.850,1.17613
2020-04-15,2783.36,1712.250,1.13488
2020-04-16,2799.55,1717.850,1.13525
2020-04-17,2874.56,1693.150,1.10900
2020-04-20,2823.16,1684.950,1.09763
2020-04-21,2736.56,1678.600,1.04300
2020-04-22,2799.31,1702.650,1.02025
2020-04-23,2797.80,1727.550,0.99138
2020-04-24,2836.74,1727.250,0.88713
2020-04-27,2878.48,1717.250,0.84075
